timestamp,log_source,user,department,device,src_ip,location,client,app,app_sanctioned,event_type,details,file_name,bytes,file_hash_sha256
2025-10-29 06:34:15+0000,M365 Defender,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",Outlook/16.0 (Windows NT 10.0),Outlook,Yes,M365 Defender Incident,Attempted data exfiltration via email blocked.,,,
2025-10-29 07:48:33+0000,EDR,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",rclone.exe,rclone,No,Process.Create,"Process 'rclone.exe' executed with command line: rclone copy C:\Users\Lars\Documents\Finance\ dropbox:/Finance_Backup --transfers 4",rclone.exe,,
2025-10-29 07:49:12+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CloudAppDiscovery.Access,Cloud Discovery identified unsanctioned app Dropbox accessed from managed device.,,,
2025-10-29 07:50:00+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CloudAppDiscovery.Access,Cloud Discovery identified unsanctioned app Dropbox accessed from managed device.,,,
2025-10-29 07:53:00+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CloudAppGovernance.Tag,App classified as unsanctioned based on governance catalog.,,,
2025-10-29 07:59:00+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,App.Authenticate,Successful login to Dropbox Web via OAuth; User-Agent=Chrome/119; SSO=Disabled,,,
2025-10-29 08:03:00+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CASB.InferredUpload,CASB detected abnormal outbound data volume to unsanctioned app Dropbox. Approx. 144 MB uploaded from WIN10-DH-113.,,151772593.0,
2025-10-29 08:10:17+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CASB.InferredUpload,CASB detected large outbound transfer (≈1.1 GB) to Dropbox via rclone process. TLS SNI=content.dropboxapi.com.,,1181116003.0,
2025-10-29 08:12:44+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CASB.InferredUpload,CASB detected abnormal outbound data volume to unsanctioned app Dropbox. Approx. 57 MB uploaded from WIN10-DH-113.,,60709037.0,
2025-10-29 08:16:08+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CASB.InferredUpload,CASB detected abnormal outbound data volume to unsanctioned app Dropbox. Approx. 100 MB uploaded from WIN10-DH-113.,,105698770.0,
2025-10-29 08:19:24+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,CASB.InferredUpload,CASB detected abnormal outbound data volume to unsanctioned app Dropbox. Approx. 207 MB uploaded from WIN10-DH-113.,,217902080.0,
2025-10-29 08:27:08+0000,MDCA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,Anomaly.UploadVolumeSpike,Defender for Cloud Apps detected upload volume significantly higher than baseline to unsanctioned app.,,1181116003.0,
2025-10-29 08:32:08+0000,M365 Defender,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,M365 Defender Incident,Correlated CASB and network alerts indicate possible data exfiltration to an unsanctioned cloud app.,,,
2025-10-29 08:35:08+0000,Netflow,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,Netflow.Summary,Network telemetry confirms egress traffic to Dropbox IP range (AS19679).,,,
2025-10-29 08:37:08+0000,UEBA,lars.haugen@datahaven.no,Finance,WIN10-DH-113,84.213.57.42,"NO, Oslo",,Dropbox,No,UEBA.Note,User behavior deviation detected: elevated outbound traffic volume.,,,
