timestamp,log_source,provider,user,event_type,device,src_ip,location,app,details,file_name,url
2025-10-28 08:12:51+0000,Netflow,Netflow,erik.nilsen@datahaven.no,wss.frame,WIN10-DH-045,10.4.23.87,"NO, Oslo",,WSS frame: 1024 bytes binary; direction=server->client,,
2025-10-28 08:12:56,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,GET https://i9152.cisele0.com/NOZcbtTxxEiGj/ -> 302 Found; Referer: https://mail.datahaven.no/; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/117.0,,"https://i9152.cisele0.com/NOZcbtTxxEiGj/, https://mail.datahaven.no/;"
2025-10-28 08:13:00+0000,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,GET https://i9152.cisele0.com/captcha?site=NOZcbtTxxEiGj -> 200 OK; custom captcha widget loaded,,https://i9152.cisele0.com/captcha?site=NOZcbtTxxEiGj
2025-10-28 08:13:00,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,GET https://i9152.cisele0.com/static/myscr81234.js -> 304 Not Modified; served obfuscated JS,myscr81234.js,https://i9152.cisele0.com/static/myscr81234.js
2025-10-28 08:13:04+0000,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,POST https://i9152.cisele0.com/captcha/verify -> 200 OK; User submitted captcha; Response valid; redirect to https://i9152.cisele0.com/NOZcbtTxxEiGj/login,,"https://i9152.cisele0.com/captcha/verify, https://i9152.cisele0.com/NOZcbtTxxEiGj/login"
2025-10-28 08:13:05+0000,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,GET https://i9152.cisele0.com/NOZcbtTxxEiGj/login -> 302 Found; Login page served after captcha validation,,https://i9152.cisele0.com/NOZcbtTxxEiGj/login
2025-10-28 08:13:10,Netflow,Netflow,erik.nilsen@datahaven.no,network.outbound,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,WSS connection established to wss://i9152.cisele0.com/socket (89.185.80.19:443) - long-lived websocket,,
2025-10-28 08:13:50,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,"POST https://i9152.cisele0.com/submit_login -> 302 Found; Form fields: username=erik.nilsen (redacted), password=*****",,https://i9152.cisele0.com/submit_login
2025-10-28 08:14:10,Netflow,Netflow,erik.nilsen@datahaven.no,network.outbound,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,WebSocket frames proxied authentication flow to login.microsoftonline.com; outbound GET observed to https://login.microsoftonline.com/common/oauth2/authorize,,https://login.microsoftonline.com/common/oauth2/authorize
2025-10-28 08:14:10+0000,AuthService,AzureAD,erik.nilsen@datahaven.no,authentication.attempt,WIN10-DH-045,10.4.23.87,"NO, Oslo",,Authentication attempt for erik.nilsen@datahaven.no from 10.4.23.87; result=challenge; mfa_required=true; device_platform=Windows,,
2025-10-28 08:14:40+0000,AuthService,AzureAD,erik.nilsen@datahaven.no,token.issue,WIN10-DH-045,10.4.23.87,"NO, Oslo",,OAuth token issued for client_id=00000000-0000-0000-0000-0000000001337; username=erik.nilsen@datahaven.no; grant_type=authorization_code,,
2025-10-28 08:14:40,EDR,DefenderEndpoint,erik.nilsen@datahaven.no,file.alert,WIN10-DH-045,10.4.23.87,"NO, Oslo",msedge.exe,EDR Alert: JavaScript module with heavy obfuscation loaded in browser,myscr81234.js,
2025-10-28 08:14:55+0000,AuthService,AzureAD,erik.nilsen@datahaven.no,risk.event,WIN10-DH-045,10.4.23.87,"NO, Oslo",,Risk event: atypical_location for user erik.nilsen@datahaven.no; magnitude=high; detected_by=AzureIdentityProtection,,
2025-10-28 08:15:00+0000,AuthService,AzureAD,erik.nilsen@datahaven.no,authentication.success,WIN10-DH-045,89.185.80.19,"US, Arizona",,Successful interactive sign-in using correct credentials for erik.nilsen@datahaven.no from 89.185.80.19; device=Unknown; User-Agent: Axios/1.7.9; country=US; conditional_access=not_evaluated; ,,
2025-10-28 08:15:20,UEBA,UEBA,erik.nilsen@datahaven.no,anomaly,WIN10-DH-045,10.4.23.87,"NO, Oslo",,Unusual authentication: websocket to rare domain i9152.cisele0.com with proxied OAuth flow to login.microsoftonline.com,,
2025-10-28 08:17:00,AuthService,AzureAD,erik.nilsen@datahaven.no,authentication.success,,89.185.80.19,"US, Arizona",,Successful interactive sign-in for erik.nilsen@datahaven.no from 89.185.80.19; MFA circumvented via AiTM proxy; User-Agent: Axios/1.7.9; ,,
2025-10-28 08:18:00,Netflow,Netflow,erik.nilsen@datahaven.no,network.flow,,89.185.80.19,"US, Arizona",curl,Outbound TCP: 89.185.80.19 -> login.microsoftonline.com:443; bytes=2345; duration=00:00:10,,
2025-10-28 08:18:15,WindowsEvent,Windows,erik.nilsen@datahaven.no,4624:Logon,,89.185.80.19,"US, Arizona",,Successful interactive logon for user erik.nilsen@datahaven.no from external IP 89.185.80.19; User-Agent: Axios/1.7.9;,,
2025-10-28 08:25:25+0000,AuthService,AzureAD,erik.nilsen@datahaven.no,authentication.success,,89.185.80.19,"US, Arizona",AzureAD,Authentication success: session reused/token replay for erik.nilsen@datahaven.no from 89.185.80.19; grant_type=refresh_token; conditional_access=not_evaluated,,
2025-10-28 08:25:37+0000,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,,89.185.80.19,"US, Arizona",curl,"GET https://graph.microsoft.com/v1.0/me/messages?$filter=contains(subject,'Invoice') -> 200 OK; Authorization: Bearer <redacted>",,"https://graph.microsoft.com/v1.0/me/messages?$filter=contains(subject,'Invoice')"
2025-10-28 08:25:45+0000,M365 Audit,M365 Defender,erik.nilsen@datahaven.no,MailItemsAccessed,,89.185.80.19,"US, Arizona",GraphAPI,MailItemsAccessed: 7 items matched 'Invoice' subject; actor=erik.nilsen@datahaven.no; client=GraphAPI; risk=high,,
2025-10-28 08:26:00+0000,M365 Audit,M365 Defender,erik.nilsen@datahaven.no,MessageCreated,,89.185.80.19,"US, Arizona",GraphAPI,MessageCreated: Draft created with subject 'Re: Invoice Payment - Urgent' addressed to finance@victimcorp.no; body contains new payment instructions (account: NL89BANKXXXX...); Attached PDF,,
2025-10-28 08:26:20+0000,M365 Audit,M365 Defender,erik.nilsen@datahaven.no,MailboxSettingsChanged,,89.185.80.19,"US, Arizona",Exchange Online,Inbox rule created: Name='_finance-forward' Action=ForwardTo attacker-relay@outlook.com; Enabled=true,,
2025-10-28 08:26:45+0000,EmailGateway,EmailSecurity,erik.nilsen@datahaven.no,email.send,,89.185.80.19,"US, Arizona",Exchange Online,Outbound email: From 'Erik Nilsen' <erik.nilsen@datahaven.no> To finance@victimcorp.no; Subject='Re: Invoice Payment – Urgent'; Message-Id=<20251028.12345@example.com>; Body includes new bank details (redacted). PDF attachment = payment_request_80295.pdf,,
2025-10-28 08:27:25+0000,UEBA,UEBA,erik.nilsen@datahaven.no,anomaly,,89.185.80.19,"US, Arizona",,"UEBA Alert: anomalous mailbox activity and outbound email to new external recipient following foreign sign-in; score=0.92; correlated_events=AuthService, M365 Audit, EmailGateway",,
2025-10-28 08:27:35+0000,EDR,DefenderEndpoint,erik.nilsen@datahaven.no,suspicious.activity,,89.185.80.19,"US, Arizona",msedge.exe,EDR Alert: suspicious token access pattern in browser context; possible session replay/proxied credentials,,
